Channel,Gain,Time (sec),Time (hr),Well,AFU,uM,Excitation,Emission
OD600,-1,445,0.123611111,D2,0.091,0.091,600,-1
OD600,-1,445,0.123611111,D3,0.089,0.089,600,-1
OD600,-1,445,0.123611111,D4,0.092,0.092,600,-1
OD600,-1,445,0.123611111,D5,0.092,0.092,600,-1
OD600,-1,445,0.123611111,D6,0.094,0.094,600,-1
OD600,-1,445,0.123611111,D7,0.093,0.093,600,-1
OD600,-1,445,0.123611111,D8,0.093,0.093,600,-1
OD600,-1,445,0.123611111,D9,0.094,0.094,600,-1
OD600,-1,445,0.123611111,D10,0.095,0.095,600,-1
OD600,-1,445,0.123611111,D11,0.092,0.092,600,-1
OD600,-1,445,0.123611111,D12,0.091,0.091,600,-1
OD600,-1,445,0.123611111,E1,0.094,0.094,600,-1
OD600,-1,445,0.123611111,E2,0.086,0.086,600,-1
OD600,-1,445,0.123611111,E3,0.091,0.091,600,-1
OD600,-1,445,0.123611111,E4,0.094,0.094,600,-1
OD600,-1,445,0.123611111,E5,0.088,0.088,600,-1
OD600,-1,445,0.123611111,E6,0.092,0.092,600,-1
OD600,-1,445,0.123611111,E7,0.094,0.094,600,-1
OD600,-1,445,0.123611111,E8,0.09,0.09,600,-1
OD600,-1,445,0.123611111,E9,0.093,0.093,600,-1
OD600,-1,445,0.123611111,E10,0.093,0.093,600,-1
OD600,-1,445,0.123611111,E11,0.089,0.089,600,-1
OD600,-1,445,0.123611111,E12,0.091,0.091,600,-1
OD600,-1,445,0.123611111,F1,0.085,0.085,600,-1
OD600,-1,445,0.123611111,F2,0.091,0.091,600,-1
OD600,-1,445,0.123611111,F3,0.087,0.087,600,-1
OD600,-1,445,0.123611111,F4,0.087,0.087,600,-1
OD600,-1,445,0.123611111,F5,0.088,0.088,600,-1
OD600,-1,445,0.123611111,F6,0.087,0.087,600,-1
OD600,-1,445,0.123611111,F7,0.087,0.087,600,-1
OD600,-1,445,0.123611111,F8,0.091,0.091,600,-1
OD600,-1,445,0.123611111,F9,0.087,0.087,600,-1
OD600,-1,445,0.123611111,F10,0.087,0.087,600,-1
OD600,-1,445,0.123611111,F11,0.088,0.088,600,-1
OD600,-1,445,0.123611111,F12,0.087,0.087,600,-1
OD600,-1,445,0.123611111,G1,0.094,0.094,600,-1
OD600,-1,445,0.123611111,G2,0.092,0.092,600,-1
OD600,-1,445,0.123611111,G3,0.092,0.092,600,-1
OD600,-1,445,0.123611111,G4,0.091,0.091,600,-1
OD600,-1,445,0.123611111,G5,0.091,0.091,600,-1
OD600,-1,445,0.123611111,G6,0.093,0.093,600,-1
OD600,-1,445,0.123611111,G7,0.093,0.093,600,-1
OD600,-1,445,0.123611111,G8,0.092,0.092,600,-1
OD600,-1,445,0.123611111,G9,0.094,0.094,600,-1
OD600,-1,445,0.123611111,G10,0.093,0.093,600,-1
OD600,-1,445,0.123611111,G11,0.091,0.091,600,-1
OD600,-1,445,0.123611111,G12,0.094,0.094,600,-1
OD600,-1,445,0.123611111,H1,0.087,0.087,600,-1
OD600,-1,445,0.123611111,H2,0.094,0.094,600,-1
OD600,-1,445,0.123611111,H3,0.09,0.09,600,-1
OD600,-1,445,0.123611111,H4,0.091,0.091,600,-1
OD600,-1,445,0.123611111,H5,0.093,0.093,600,-1
OD600,-1,445,0.123611111,H6,0.088,0.088,600,-1
OD600,-1,445,0.123611111,H7,0.089,0.089,600,-1
OD600,-1,445,0.123611111,H8,0.093,0.093,600,-1
OD600,-1,445,0.123611111,H9,0.087,0.087,600,-1
OD600,-1,445,0.123611111,H10,0.086,0.086,600,-1
OD600,-1,445,0.123611111,H11,0.091,0.091,600,-1
OD600,-1,445,0.123611111,H12,0.088,0.088,600,-1
OD600,-1,745,0.206944444,A1,0.098,0.098,600,-1
OD600,-1,745,0.206944444,A2,0.091,0.091,600,-1
OD600,-1,745,0.206944444,A3,0.089,0.089,600,-1
OD600,-1,745,0.206944444,A4,0.096,0.096,600,-1
OD600,-1,745,0.206944444,A5,0.09,0.09,600,-1
OD600,-1,745,0.206944444,A6,0.092,0.092,600,-1
OD600,-1,745,0.206944444,A7,0.096,0.096,600,-1
OD600,-1,745,0.206944444,A8,0.093,0.093,600,-1
OD600,-1,745,0.206944444,A9,0.092,0.092,600,-1
OD600,-1,745,0.206944444,A10,0.099,0.099,600,-1
OD600,-1,745,0.206944444,A11,0.091,0.091,600,-1
OD600,-1,745,0.206944444,A12,0.094,0.094,600,-1
OD600,-1,745,0.206944444,B1,0.1,0.1,600,-1
OD600,-1,745,0.206944444,B2,0.087,0.087,600,-1
OD600,-1,745,0.206944444,B3,0.089,0.089,600,-1
OD600,-1,745,0.206944444,B4,0.102,0.102,600,-1
OD600,-1,745,0.206944444,B5,0.087,0.087,600,-1
OD600,-1,745,0.206944444,B6,0.087,0.087,600,-1
OD600,-1,745,0.206944444,B7,0.1,0.1,600,-1
OD600,-1,745,0.206944444,B8,0.087,0.087,600,-1
OD600,-1,745,0.206944444,B9,0.088,0.088,600,-1
OD600,-1,745,0.206944444,B10,0.103,0.103,600,-1
OD600,-1,745,0.206944444,B11,0.088,0.088,600,-1
OD600,-1,745,0.206944444,B12,0.092,0.092,600,-1
OD600,-1,745,0.206944444,C1,0.099,0.099,600,-1
OD600,-1,745,0.206944444,C2,0.099,0.099,600,-1
OD600,-1,745,0.206944444,C3,0.086,0.086,600,-1
OD600,-1,745,0.206944444,C4,0.097,0.097,600,-1
OD600,-1,745,0.206944444,C5,0.098,0.098,600,-1
OD600,-1,745,0.206944444,C6,0.086,0.086,600,-1
OD600,-1,745,0.206944444,C7,0.099,0.099,600,-1
OD600,-1,745,0.206944444,C8,0.099,0.099,600,-1
OD600,-1,745,0.206944444,C9,0.09,0.09,600,-1
OD600,-1,745,0.206944444,C10,0.099,0.099,600,-1
OD600,-1,745,0.206944444,C11,0.101,0.101,600,-1
OD600,-1,745,0.206944444,C12,0.088,0.088,600,-1
OD600,-1,745,0.206944444,D1,0.093,0.093,600,-1
OD600,-1,745,0.206944444,D2,0.09,0.09,600,-1
OD600,-1,745,0.206944444,D3,0.09,0.09,600,-1
OD600,-1,745,0.206944444,D4,0.092,0.092,600,-1
OD600,-1,745,0.206944444,D5,0.092,0.092,600,-1
OD600,-1,745,0.206944444,D6,0.094,0.094,600,-1
OD600,-1,745,0.206944444,D7,0.094,0.094,600,-1
OD600,-1,745,0.206944444,D8,0.093,0.093,600,-1
OD600,-1,745,0.206944444,D9,0.108,0.108,600,-1
OD600,-1,745,0.206944444,D10,0.094,0.094,600,-1
OD600,-1,745,0.206944444,D11,0.092,0.092,600,-1
OD600,-1,745,0.206944444,D12,0.092,0.092,600,-1
OD600,-1,745,0.206944444,E1,0.093,0.093,600,-1
OD600,-1,745,0.206944444,E2,0.086,0.086,600,-1
OD600,-1,745,0.206944444,E3,0.091,0.091,600,-1
OD600,-1,745,0.206944444,E4,0.096,0.096,600,-1
OD600,-1,745,0.206944444,E5,0.088,0.088,600,-1
OD600,-1,745,0.206944444,E6,0.092,0.092,600,-1
OD600,-1,745,0.206944444,E7,0.094,0.094,600,-1
OD600,-1,745,0.206944444,E8,0.091,0.091,600,-1
OD600,-1,745,0.206944444,E9,0.093,0.093,600,-1
OD600,-1,745,0.206944444,E10,0.093,0.093,600,-1
OD600,-1,745,0.206944444,E11,0.089,0.089,600,-1
OD600,-1,745,0.206944444,E12,0.092,0.092,600,-1
OD600,-1,745,0.206944444,F1,0.085,0.085,600,-1
OD600,-1,745,0.206944444,F2,0.087,0.087,600,-1
OD600,-1,745,0.206944444,F3,0.086,0.086,600,-1
OD600,-1,745,0.206944444,F4,0.087,0.087,600,-1
OD600,-1,745,0.206944444,F5,0.088,0.088,600,-1
OD600,-1,745,0.206944444,F6,0.087,0.087,600,-1
OD600,-1,745,0.206944444,F7,0.087,0.087,600,-1
OD600,-1,745,0.206944444,F8,0.092,0.092,600,-1
OD600,-1,745,0.206944444,F9,0.088,0.088,600,-1
OD600,-1,745,0.206944444,F10,0.087,0.087,600,-1
OD600,-1,745,0.206944444,F11,0.09,0.09,600,-1
OD600,-1,745,0.206944444,F12,0.087,0.087,600,-1
OD600,-1,745,0.206944444,G1,0.094,0.094,600,-1
OD600,-1,745,0.206944444,G2,0.091,0.091,600,-1
OD600,-1,745,0.206944444,G3,0.093,0.093,600,-1
OD600,-1,745,0.206944444,G4,0.091,0.091,600,-1
OD600,-1,745,0.206944444,G5,0.091,0.091,600,-1
OD600,-1,745,0.206944444,G6,0.093,0.093,600,-1
OD600,-1,745,0.206944444,G7,0.093,0.093,600,-1
OD600,-1,745,0.206944444,G8,0.092,0.092,600,-1
OD600,-1,745,0.206944444,G9,0.092,0.092,600,-1
OD600,-1,745,0.206944444,G10,0.093,0.093,600,-1
OD600,-1,745,0.206944444,G11,0.09,0.09,600,-1
OD600,-1,745,0.206944444,G12,0.094,0.094,600,-1
OD600,-1,745,0.206944444,H1,0.087,0.087,600,-1
OD600,-1,745,0.206944444,H2,0.094,0.094,600,-1
OD600,-1,745,0.206944444,H3,0.091,0.091,600,-1
OD600,-1,745,0.206944444,H4,0.089,0.089,600,-1
OD600,-1,745,0.206944444,H5,0.093,0.093,600,-1
OD600,-1,745,0.206944444,H6,0.088,0.088,600,-1
OD600,-1,745,0.206944444,H7,0.09,0.09,600,-1
OD600,-1,745,0.206944444,H8,0.094,0.094,600,-1
OD600,-1,745,0.206944444,H9,0.088,0.088,600,-1
OD600,-1,745,0.206944444,H10,0.087,0.087,600,-1
