Channel,Gain,Time (sec),Time (hr),Well,AFU,uM,Excitation,Emission
GFP,61,300,0.08333333333333333,B9,5,0.004422821760283061,485,515
GFP,61,300,0.08333333333333333,B10,5,0.004422821760283061,485,515
GFP,61,300,0.08333333333333333,C1,9,0.00796107916850951,485,515
GFP,61,300,0.08333333333333333,C2,4,0.0035382574082264487,485,515
GFP,61,300,0.08333333333333333,C3,8,0.007076514816452897,485,515
GFP,61,300,0.08333333333333333,C4,7,0.006191950464396285,485,515
GFP,61,300,0.08333333333333333,C5,10,0.008845643520566122,485,515
GFP,61,300,0.08333333333333333,C6,9,0.00796107916850951,485,515
GFP,61,300,0.08333333333333333,C7,8,0.007076514816452897,485,515
GFP,61,300,0.08333333333333333,C8,12,0.010614772224679346,485,515
GFP,61,300,0.08333333333333333,C9,12,0.010614772224679346,485,515
GFP,61,300,0.08333333333333333,C10,1,0.0008845643520566122,485,515
GFP,61,300,0.08333333333333333,D1,7,0.006191950464396285,485,515
GFP,61,300,0.08333333333333333,D2,13,0.011499336576735958,485,515
GFP,61,300,0.08333333333333333,D3,11,0.009730207872622732,485,515
GFP,61,300,0.08333333333333333,D4,10,0.008845643520566122,485,515
GFP,61,300,0.08333333333333333,D5,11,0.009730207872622732,485,515
GFP,61,300,0.08333333333333333,D6,10,0.008845643520566122,485,515
GFP,61,300,0.08333333333333333,D7,10,0.008845643520566122,485,515
GFP,61,300,0.08333333333333333,D8,10,0.008845643520566122,485,515
GFP,61,300,0.08333333333333333,D9,13,0.011499336576735958,485,515
GFP,61,300,0.08333333333333333,D10,7,0.006191950464396285,485,515
GFP,61,300,0.08333333333333333,E1,13,0.011499336576735958,485,515
GFP,61,300,0.08333333333333333,E2,5,0.004422821760283061,485,515
GFP,61,300,0.08333333333333333,E3,20,0.017691287041132243,485,515
GFP,61,300,0.08333333333333333,E4,6,0.005307386112339673,485,515
GFP,61,300,0.08333333333333333,E5,5,0.004422821760283061,485,515
GFP,61,300,0.08333333333333333,E6,13,0.011499336576735958,485,515
GFP,61,300,0.08333333333333333,E7,14,0.01238390092879257,485,515
GFP,61,300,0.08333333333333333,E8,10,0.008845643520566122,485,515
GFP,61,300,0.08333333333333333,E9,11,0.009730207872622732,485,515
GFP,61,300,0.08333333333333333,E10,10,0.008845643520566122,485,515
GFP,61,300,0.08333333333333333,F1,0,0.0,485,515
GFP,61,300,0.08333333333333333,F2,12,0.010614772224679346,485,515
GFP,61,300,0.08333333333333333,F3,15,0.01326846528084918,485,515
GFP,61,300,0.08333333333333333,F4,8,0.007076514816452897,485,515
GFP,61,300,0.08333333333333333,F5,10,0.008845643520566122,485,515
GFP,61,300,0.08333333333333333,F6,9,0.00796107916850951,485,515
GFP,61,300,0.08333333333333333,F7,8,0.007076514816452897,485,515
GFP,61,300,0.08333333333333333,F8,11,0.009730207872622732,485,515
GFP,61,300,0.08333333333333333,F9,8,0.007076514816452897,485,515
GFP,61,300,0.08333333333333333,F10,4,0.0035382574082264487,485,515
GFP,61,300,0.08333333333333333,G1,15,0.01326846528084918,485,515
GFP,61,300,0.08333333333333333,G2,4,0.0035382574082264487,485,515
GFP,61,300,0.08333333333333333,G3,0,0.0,485,515
GFP,61,300,0.08333333333333333,G4,2,0.0017691287041132243,485,515
GFP,61,300,0.08333333333333333,G5,2,0.0017691287041132243,485,515
GFP,61,300,0.08333333333333333,G6,4,0.0035382574082264487,485,515
GFP,61,300,0.08333333333333333,G7,6,0.005307386112339673,485,515
GFP,61,300,0.08333333333333333,G8,5,0.004422821760283061,485,515
GFP,61,300,0.08333333333333333,G9,4,0.0035382574082264487,485,515
GFP,61,300,0.08333333333333333,G10,6,0.005307386112339673,485,515
GFP,61,600,0.16666666666666666,A1,6,0.005307386112339673,485,515
GFP,61,600,0.16666666666666666,A2,2,0.0017691287041132243,485,515
GFP,61,600,0.16666666666666666,A3,7,0.006191950464396285,485,515
GFP,61,600,0.16666666666666666,A4,5,0.004422821760283061,485,515
GFP,61,600,0.16666666666666666,A5,6,0.005307386112339673,485,515
GFP,61,600,0.16666666666666666,A6,8,0.007076514816452897,485,515
GFP,61,600,0.16666666666666666,A7,17,0.015037593984962405,485,515
GFP,61,600,0.16666666666666666,A8,11,0.009730207872622732,485,515
GFP,61,600,0.16666666666666666,A9,7,0.006191950464396285,485,515
GFP,61,600,0.16666666666666666,A10,9,0.00796107916850951,485,515
GFP,61,600,0.16666666666666666,B1,7,0.006191950464396285,485,515
GFP,61,600,0.16666666666666666,B2,9,0.00796107916850951,485,515
GFP,61,600,0.16666666666666666,B3,8,0.007076514816452897,485,515
GFP,61,600,0.16666666666666666,B4,13,0.011499336576735958,485,515
GFP,61,600,0.16666666666666666,B5,5,0.004422821760283061,485,515
GFP,61,600,0.16666666666666666,B6,9,0.00796107916850951,485,515
GFP,61,600,0.16666666666666666,B7,10,0.008845643520566122,485,515
GFP,61,600,0.16666666666666666,B8,8,0.007076514816452897,485,515
GFP,61,600,0.16666666666666666,B9,6,0.005307386112339673,485,515
GFP,61,600,0.16666666666666666,B10,13,0.011499336576735958,485,515
GFP,61,600,0.16666666666666666,C1,8,0.007076514816452897,485,515
GFP,61,600,0.16666666666666666,C2,10,0.008845643520566122,485,515
GFP,61,600,0.16666666666666666,C3,11,0.009730207872622732,485,515
GFP,61,600,0.16666666666666666,C4,5,0.004422821760283061,485,515
GFP,61,600,0.16666666666666666,C5,4,0.0035382574082264487,485,515
